Sample_Code,Animal,Time,Sex,Diet,Volume_raw,Volume_Norm,Stiffness,PV_flow,HA_flow,Oxygenation,Bodyweight,Vol_to_bw,Norm_Vol_to_bw,PV_velocity,PV_diameter,Rel_Bw
BUS11_24,BUS11,24,Male,Ethanol,4184.08,0.508536603,2.038,0.513345961,0.5744714,,,#DIV/0!,#DIV/0!,20.87566667,1.478,
BUS11_48,BUS11,48,Male,Ethanol,4840.886,0.588365357,2.017222,0.582396686,,54.53919,,#DIV/0!,#DIV/0!,19.81633333,1.137,
BUS11_72,BUS11,72,Male,Ethanol,5394.993,0.655711988,2.039333,0.560986624,0.300817437,53.86223,,#DIV/0!,#DIV/0!,21.82166667,0.887,
BUS11_96,BUS11,96,Male,Ethanol,5907.09,0.717952688,1.930667,0.682170886,0.528047006,53.07103,,#DIV/0!,#DIV/0!,24.18066667,1.881,
BUS12_-24,BUS12,-24,Male,Carbohydrate,7143.153,1,1.853333,0.593207299,0.354555477,55.21889,338,21.13358876,1,83.98366667,1.035,1
BUS12_0.3,BUS12,0.3,Male,Carbohydrate,2543.524,0.356078611,1.882667,0.559280785,0.552339931,54.73741,332,7.661216867,0.362513767,23.528,1.133,0.982248521
BUS12_10,BUS12,10,Male,Carbohydrate,3415.142,0.478100077,2.029333,1.28308461,,54.37863,326,10.47589571,0.495698853,64.28533333,1.203,0.964497041
BUS12_24,BUS12,24,Male,Carbohydrate,4232.248,0.592490179,2.186,0.637176259,,,,#DIV/0!,#DIV/0!,35.38633333,1.272,
BUS12_48,BUS12,48,Male,Carbohydrate,5243.066,0.733998838,2.387333,0.39944859,0.238372765,56.11459,,#DIV/0!,#DIV/0!,74.416,0.773,
BUS12_72,BUS12,72,Male,Carbohydrate,5426.816,0.759722772,2.012667,0.443912554,0.378208596,54.69041,,#DIV/0!,#DIV/0!,31.61166667,1.272,
BUS12_96,BUS12,96,Male,Carbohydrate,5932.282,0.830485081,2.3,0.755980842,0.361863959,54.49786,,#DIV/0!,#DIV/0!,38.33533333,1.576,
BUS13_-24,BUS13,-24,Male,Ethanol,8342.595,1,1.650667,0.547449222,,53.77838,320,26.07060938,1,87.78466667,1.051,1
BUS13_0.3,BUS13,0.3,Male,Ethanol,2744.404,0.328962871,1.734,0.945412287,1.022587619,52.29738,316,8.684822785,0.333126958,35.087,1.253,0.9875
BUS13_10,BUS13,10,Male,Ethanol,3751.662,0.449699644,2.235333,1.601675957,0.791234853,,311,12.06322186,0.46271346,96.133,1.152,0.971875
BUS13_24,BUS13,24,Male,Ethanol,4210.822,0.504737675,2.141333,0.855290309,0.598221253,51.9808,315,13.36768889,0.512749384,33.84866667,1.503,0.984375
BUS13_48,BUS13,48,Male,Ethanol,4758.093,0.570337287,2.236667,1.128182896,0.581914383,,317,15.0097571,0.575734801,40.86566667,1.67,0.990625
BUS13_72,BUS13,72,Male,Ethanol,5081.834,0.609143078,,1.111400958,,52.08032,311,16.34030225,0.626771013,60.746,1.405,0.971875
BUS13_96,BUS13,96,Male,Ethanol,5073.746,0.608173596,1.953333,0.778507688,0.529833047,,,#DIV/0!,#DIV/0!,52.49,1.264,
